Date,Year,State,Site,N_R,ID_mark,ID_number,sex,mated (if F),gps,wpt,wing_wear,Notes,lat,lon,ele
6/10/18,2018,Maryland,Abel,N,BYYR,AB07,M,,LB,1614,2,,39.513525,-76.485958,117.517426
6/11/18,2018,Maryland,McElwain,R,BYYB,MC13,M,,GPS_1,229,3,,39.708703,-76.493206,173.778503
6/11/18,2018,Maryland,McElwain,R,BYYG,MC14,M,,GPS_1,230,2,,39.708881,-76.493701,177.033432
6/11/18,2018,Maryland,McElwain,N,BBRY,MC15,F,unmated,GPS_1,231,2,unmated,39.708479,-76.493228,175.691589
6/11/18,2018,Maryland,McElwain,R,BYSR,MC10,M,,GPS_1,232,2,,39.707675,-76.492116,174.986053
6/11/18,2018,Maryland,McElwain,R,BYRS,MC05,M,,GPS_1,234,2,,39.7085,-76.493143,175.26561
6/12/18,2018,Maryland,Alesia,R,BBBS,AL04,M,,GPS_1,236,2,,39.682722,-76.83306,219.742569
6/12/18,2018,Maryland,Alesia,R,BBRR,AL10,F,,GPS_1,237,2,wing colors remarked,39.683099,-76.832626,221.643341
6/12/18,2018,Maryland,Abel,N,BBRS,AB08,F,unmated,GPS_1,238,1,was leaking orange liquid: newly emerged?,39.51355,-76.485987,116.014626
6/12/18,2018,Maryland,Abel,R,BYYR,AB07,M,,GPS_1,239,2,wing colors remarked,39.513537,-76.485956,117.404152
6/12/18,2018,Maryland,Abel,R,BYGR,AB03,M,,GPS_1,240,2,wing colors remarked,39.513487,-76.486048,117.404762
6/12/18,2018,Maryland,Abel,N,BBSB,AB09,M,,GPS_1,241,2,,39.513575,-76.485969,116.8414
6/12/18,2018,Maryland,McElwain,N,BYYS,MC16,F,unmated,LB,1617,2,"unmated; 2nd mark (1st Y) was accidentally marked blue at first, then yellow over so could have remnants of blue undneath when top color fades",39.707636,-76.490999,175.804352
6/12/18,2018,Maryland,McElwain,N,BYYY,MC17,M,,LB,1618,2,,39.708757,-76.493018,180.304459
6/12/18,2018,Maryland,McElwain,N,GBBB,MC18,F,unmated,LB,1619,2,unmated,39.708768,-76.492979,174.672363
6/12/18,2018,Maryland,McElwain,N,GBBG,MC19,F,unmated,LB,1620,2,unmated,39.708824,-76.493043,175.235291
6/12/18,2018,Maryland,McElwain,N,GBBR,MC20,M,,LB,1621,2,,39.707333,-76.491226,180.319199
6/12/18,2018,Maryland,McElwain,R,BYSR,MC10,M,,LB,1623,3,,39.707748,-76.49204,179.160889
6/12/18,2018,Maryland,McElwain,N,GBBS,MC21,M,,LB,1623,2,,39.707748,-76.49204,179.160889
6/12/18,2018,Maryland,McElwain,N,GBBY,MC22,F,unmated,LB,1624,2,unmated,39.70894,-76.493134,181.521484
6/13/18,2018,Maryland,Alesia,R,BBBS,AL04,M,,LB,1625,3,,39.682687,-76.833086,227.118576
6/13/18,2018,Maryland,Abel,R,BBRS,AB08,F,unmated,LB,1627,3,,39.513563,-76.486062,118.632217
6/13/18,2018,Maryland,Abel,R,BBSB,AB09,M,,LB,1628,3,,39.513498,-76.485974,116.212578
6/13/18,2018,Maryland,Abel,R,BYYR,AB07,M,,LB,1629,3,,39.513499,-76.486052,116.707375
6/13/18,2018,Maryland,McElwain,N,BBSG,MC23,M,,GPS_1,242,2,,39.70737,-76.491511,174.332993
6/13/18,2018,Maryland,McElwain,R,BBGY,MC07,M,,GPS_1,243,2,wing wear between 2 and 3,39.707476,-76.491567,175.941162
6/13/18,2018,Maryland,McElwain,R,NA,NA,M,,GPS_1,244,2,was written down as BGSS-not a color code used yet,39.708933,-76.493334,178.224365
6/13/18,2018,Maryland,McElwain,N,BBSR,MC24,M,,GPS_1,245,2,,39.708507,-76.493226,177.58049
6/13/18,2018,Maryland,McElwain,R,NA,NA,M,,GPS_1,246,4,"was written down as BGGB-not a color code used yet. hole in wing, edges ok",39.708811,-76.493189,177.780167
6/13/18,2018,Maryland,McElwain,N,BBSS,MC25,M,,GPS_1,247,2,,39.707241,-76.491318,176.884888
6/13/18,2018,Maryland,McElwain,N,BBYB,MC27,F,mated,GPS_1,248,2,mated,39.707233,-76.491173,177.68869
6/13/18,2018,Maryland,McElwain,N,BBSY,MC26,M,,GPS_1,249,2,,39.707005,-76.491355,179.064804
6/13/18,2018,Maryland,McElwain,R,GBBB,MC18,F,mated,GPS_1,250,2,mated,39.707896,-76.492589,177.768311
6/13/18,2018,Maryland,McElwain,R,BYYB,MC13,M,,GPS_1,251,5,"one wing very beat up, other wing somewhat beat up",39.708807,-76.49317,181.711014
6/13/18,2018,Maryland,McElwain,R,BBRY,MC15,F,mated,GPS_1,252,2,mated,39.708782,-76.493336,182.166321
6/13/18,2018,Maryland,McElwain,R,BYSS,MC11,M,,GPS_1,253,2,,39.708703,-76.493397,181.114243
6/13/18,2018,Maryland,Nuetzel,N,NA,NA,NA,,GPS_1,70,NA,"saw the first butterfly at this site. Did not catch. GPS not taken, but was close to existing point 70",39.672392,-76.586118,161.999908
6/14/18,2018,Maryland,Abel,N,GBGB,AB10,F,mated,LB,1630,2,"initially unmated, but later seen mating with GBGG; recorded here as mated by LMB",39.513427,-76.486172,105.944862
6/14/18,2018,Maryland,Abel,R,BYYR,AB07,M,,LB,1631,3,,39.513523,-76.486026,112.571991
6/14/18,2018,Maryland,Abel,N,GBGG,AB11,M,,LB,1632,2,,39.513525,-76.48604,115.329155
6/14/18,2018,Maryland,Abel,R,BBRS,AB08,F,unmated,LB,1633,3,still unmated :(,39.513514,-76.486047,118.140923
6/14/18,2018,Maryland,Alesia,N,GBGR,AL11,M,,LB,1634,2,,39.682989,-76.832758,217.258591
6/14/18,2018,Maryland,Alesia,N,GBGS,AL12,M,,LB,1635,3,,39.683218,-76.832629,219.808029
6/14/18,2018,Maryland,McElwain,N,BBYG,MC28,F,mated,GPS_1,256,2,mated. Also wpt 257: two wpts taken by accident,39.708769,-76.493043,179.706818
6/14/18,2018,Maryland,McElwain,R,BYYY,MC17,M,,GPS_1,258,2,,39.708837,-76.492948,178.271866
6/14/18,2018,Maryland,McElwain,R,GBBB,MC18,F,mated,GPS_1,259,2,mated,39.707931,-76.49277,177.106476
6/14/18,2018,Maryland,McElwain,N,BBYR,MC29,M,,GPS_1,260,2,,39.70848,-76.49318,177.128052
6/14/18,2018,Maryland,McElwain,N,BBYS,MC30,M,,GPS_1,261,2,,39.70869,-76.492975,176.924515
6/14/18,2018,Maryland,McElwain,R,BYYS,MC16,F,mated,GPS_1,262,2,mated ,39.707451,-76.491658,176.140701
6/14/18,2018,Maryland,McElwain,R,BYYB,MC13,M,,GPS_1,263,5,"one wing very beat up, other wing somewhat beat up",39.70839,-76.493065,176.91069
6/14/18,2018,Maryland,McElwain,R,BBYB,MC27,F,mated,GPS_1,264,2,mated,39.707687,-76.492513,177.758606
6/14/18,2018,Maryland,McElwain,N,BBYY,MC31,F,mated,GPS_1,265,2,mated,39.707356,-76.491554,179.729004
6/14/18,2018,Maryland,McElwain,N,BGBB,MC32,M,,GPS_1,266,2,,39.707373,-76.491582,179.59848
6/14/18,2018,Maryland,McElwain,N,BGBG,MC33,M,,GPS_1,267,2,,39.707586,-76.491651,179.2966
6/14/18,2018,Maryland,Nuetzel,N,BGBR,NU01,M,,GPS_1,268,2,,39.67415,-76.584695,185.167603
6/15/18,2018,Maryland,McElwain,N,GBGY,MC34,F,mated,LB,1636,3,,39.708441,-76.49329,180.332108
6/15/18,2018,Maryland,McElwain,N,GBRB,MC35,M,,LB,1637,2,,39.70846,-76.493163,179.619705
6/15/18,2018,Maryland,McElwain,R,BBYG,MC28,F,mated,LB,1638,2,,39.70891,-76.493027,181.558624
6/15/18,2018,Maryland,McElwain,R,BBGY,MC07,M,,LB,1639,3,,39.707154,-76.491316,182.194153
6/15/18,2018,Maryland,McElwain,R,BBSS,MC24,M,,LB,1640,3,,39.707203,-76.491463,182.117325
6/15/18,2018,Maryland,McElwain,R,BBSY,MC26,M,,LB,1641,3,,39.70686,-76.491257,183.204437
6/15/18,2018,Maryland,McElwain,N,GBRG,MC36,M,,LB,1643,3,,39.708431,-76.49307,180.88588
6/15/18,2018,Maryland,McElwain,R,BGBB,MC32,M,,LB,1642,2,,39.707931,-76.492836,180.865952
6/15/18,2018,Maryland,McElwain,N,GBRR,MC37,M,,LB,1644,3,,39.708379,-76.49309,179.874924
6/15/18,2018,Maryland,McElwain,N,GBRS,MC38,F,unmated,LB,1645,3,,39.708676,-76.492913,180.349426
6/15/18,2018,Maryland,McElwain,R,BYYB,MC13,M,,LB,1646,5,,39.708445,-76.493095,180.728683
6/15/18,2018,Maryland,McElwain,N,GBRY,MC39,F,mated,LB,1647,5,,39.708789,-76.49321,180.585587
6/15/18,2018,Maryland,McElwain,N,GBSB,MC40,F,mated,LB,1647,5,,39.708789,-76.49321,180.585587
6/15/18,2018,Maryland,Nuetzel,N,GBSG,NU02,M,,LB,1648,2,,39.673941,-76.584003,185.47467
6/15/18,2018,Maryland,Abel,R,GBGB,AB10,F,mated,NA,NA,2,"was observed mating yesterday (6/14) [note from 2/11: wpt was listed as GPS 1 wpt 269, this point is at Nuetzel]",NA,NA,NA
6/15/18,2018,Maryland,Abel,N,BGBS,AB12,M,,GPS_1,270,2,,39.513453,-76.485987,115.624199
6/15/18,2018,Maryland,Alesia,N,BGBY,AL13,F,unmated,GPS_1,271,2,,39.682954,-76.8329,213.107025
6/15/18,2018,Maryland,Alesia,R,GBGS,AL12,M,,GPS_1,272,3,,39.682632,-76.833152,218.799744
6/16/18,2018,Maryland,McElwain,R,GBRS,MC38,F,mated,NA,NA,3,"[note from 2/11: wpt was listed as GPS 27 wpt 28, this point is in Harve de Grace: maybe a gps malfunction?]",NA,NA,NA
6/16/18,2018,Maryland,McElwain,N,GBSR,MC41,F,mated,NA,NA,3,"[note from 2/11: wpt was listed as GPS 27 wpt 29, this point is in Harve de Grace: maybe a gps malfunction?]",NA,NA,NA
6/16/18,2018,Maryland,McElwain,N,GBSS,MC42,F,unmated,GPS_27,30,2,,39.708494,-76.493114,142.684738
6/16/18,2018,Maryland,McElwain,N,GBSY,MC43,M,,GPS_27,31,2,,39.708459,-76.493175,143.765625
6/16/18,2018,Maryland,McElwain,R,GBRG,MC36,M,,GPS_27,32,2,,39.708522,-76.493224,146.616669
6/16/18,2018,Maryland,McElwain,N,GBYB,MC44,F,mated,GPS_27,33,3,has an egg attached,39.708564,-76.492671,151.096909
6/16/18,2018,Maryland,McElwain,R,GBGY,MC34,F,mated,GPS_27,34,4,also marked at wpt 43,39.708587,-76.492753,155.081451
6/16/18,2018,Maryland,McElwain,R,BGBG,MC33,M,,GPS_27,36,4,flying haphazardly,39.707474,-76.49096,167.601608
6/16/18,2018,Maryland,McElwain,R,GBBS,MC21,M,,GPS_27,37,3,,39.707735,-76.492066,175.125092
6/16/18,2018,Maryland,McElwain,N,GBYG,MC45,M,,GPS_27,37,3,,39.707735,-76.492066,175.125092
6/16/18,2018,Maryland,McElwain,R,BGBB,MC32,M,,GPS_27,38,3,,39.707653,-76.49199,174.577347
6/16/18,2018,Maryland,McElwain,R,BBGY,MC07,M,,GPS_27,39,4,,39.707698,-76.492218,175.40947
6/16/18,2018,Maryland,McElwain,R,GBRR,MC37,M,,GPS_27,40,4,,39.708447,-76.493147,173.179611
6/16/18,2018,Maryland,McElwain,R,GBRY,MC39,F,mated,GPS_27,41,5,,39.708737,-76.493096,174.219894
6/16/18,2018,Maryland,McElwain,R,GBRB,MC35,M,,GPS_27,42,NA,mating with unlabeled female: not caught,39.708644,-76.49281,174.466171
6/16/18,2018,Maryland,McElwain,N,NA,NA,F,(mating),GPS_27,42,NA,mating with MC35: not caught,39.708644,-76.49281,174.466171
6/16/18,2018,Maryland,McElwain,N,GBYR,MC46 ,M,,GPS_27,44,2,,39.708401,-76.493094,170.492844
6/17/18,2018,Maryland,Alesia,R,GBGS,AL12,M,,GPS_1,275,3,,39.682783,-76.833055,169.39801
6/17/18,2018,Maryland,Abel,R,BYYR,AB07,M,,GPS_1,276,3,,39.513387,-76.486019,121.075058
6/17/18,2018,Maryland,Abel,R,BGBS,AB12,M,,GPS_1,277,3,,39.513329,-76.485963,120.138145
6/17/18,2018,Maryland,Abel,R,GBGG,AB11,M,,GPS_1,278,3,,39.513416,-76.486027,120.0056
6/17/18,2018,Maryland,Abel,R,BBSB,AB09,M,,GPS_1,280,3,,39.513305,-76.486012,116.750252
6/17/18,2018,Maryland,McElwain,R,BBYR,MC29,M,,GPS_27,46,4,,39.708291,-76.493019,147.159149
6/17/18,2018,Maryland,McElwain,N,GBYS,MC47,M,,GPS_27,47,2,,39.708705,-76.492982,173.619736
6/17/18,2018,Maryland,McElwain,R,GBRR,MC37,M,,GPS_27,48,4,,39.708685,-76.492932,173.614639
6/17/18,2018,Maryland,McElwain,R,GBSY,MC43,M,,GPS_27,49,3,,39.708438,-76.493147,172.422668
6/17/18,2018,Maryland,McElwain,R,GBBR,MC20,M,,GPS_27,50,2,,39.70845,-76.493124,172.667343
6/17/18,2018,Maryland,McElwain,R,GBRB,MC35,M,,GPS_27,51,3,,39.708611,-76.492759,172.822983
6/17/18,2018,Maryland,McElwain,N,GBYY,MC48,F,mated,GPS_27,52,3,,39.708708,-76.492909,172.482864
6/17/18,2018,Maryland,McElwain,R,GBRG,MC36,M,,GPS_27,53,4,,39.708645,-76.492812,171.207581
6/17/18,2018,Maryland,McElwain,R,GBBS,MC21,M,,GPS_27,54,2,,39.707741,-76.492042,172.371124
6/17/18,2018,Maryland,McElwain,R,BGBB,MC32,M,,GPS_27,55,2,,39.707726,-76.49208,172.598038
6/17/18,2018,Maryland,McElwain,R,GBYG,MC45,M,,GPS_27,56,3,,39.707155,-76.491478,174.691711
6/17/18,2018,Maryland,McElwain,R,BBYB,MC27,F,mated,GPS_27,57,5,,39.70688,-76.490782,175.627808
6/17/18,2018,Maryland,McElwain,N,GGBB,MC49,M,,GPS_27,58,2,,39.707299,-76.490829,175.539658
6/17/18,2018,Maryland,McElwain,R,GBYB,MC44,F,mated,NA,NA,5,egg attached to abdomen,NA,NA,NA
6/18/18,2018,Maryland,Abel,R,BBSB,AB09,M,,GPS_1,282,3,,39.513325,-76.486025,117.095436
6/18/18,2018,Maryland,McElwain,R,GBSY,MC43,M,,GPS_27,59,3,,39.708702,-76.493578,171.60733
6/18/18,2018,Maryland,McElwain,R,GBYY,MC48,F,mated,GPS_27,60,4,,39.708529,-76.493164,168.481262
6/18/18,2018,Maryland,McElwain,N,GGBG,MC50,M,,GPS_27,61,2,,39.708536,-76.493219,167.732834
6/18/18,2018,Maryland,McElwain,R,BBYR,MC29,M,,GPS_27,62,3,,39.708736,-76.493674,170.356186
6/18/18,2018,Maryland,McElwain,N,GGBR,MC51,M,,GPS_27,63,2,,39.708736,-76.493656,170.86055
6/18/18,2018,Maryland,McElwain,N,GGBS,MC52,M,,GPS_27,64,2,,39.707672,-76.492084,169.829025
6/18/18,2018,Maryland,McElwain,R,GBBS,MC21,M,,GPS_27,65,3,,39.707698,-76.492185,169.784637
6/18/18,2018,Maryland,McElwain,R,GBSS,MC42,F,mated,GPS_27,66,2,,39.708683,-76.492932,170.083176
6/18/18,2018,Maryland,McElwain,R,GBRB,MC35,M,,GPS_27,67,3,,39.708644,-76.492822,170.140762
6/18/18,2018,Maryland,McElwain,R,GBBR,MC20,M,,GPS_27,68,3,,39.708609,-76.492767,169.595154
6/18/18,2018,Maryland,McElwain,R,GBRG,MC36,M,,GPS_27,68,3,,39.708609,-76.492767,169.595154
6/18/18,2018,Maryland,Nuetzel,N,GGBS,NU03,M,,GPS_27,69,2,,39.67395,-76.583912,185.615356
6/18/18,2018,Maryland,Nuetzel,N,GGBY,NU04,M,,GPS_27,70,2,,39.673925,-76.583851,186.543198
6/18/18,2018,Maryland,Nuetzel,N,GGGB,NU05,M,,GPS_27,71,2,,39.673967,-76.584021,185.893875
6/18/18,2018,Maryland,Nuetzel,N,GGGG,NU06,M,,GPS_27,73,2,,39.674259,-76.584529,184.627777
6/19/18,2018,Maryland,Abel,R,BYYR,AB07,M,,GPS_27,74,3,,39.513554,-76.486139,113.738647
6/19/18,2018,Maryland,Abel,N,GGGR,AB13,F,unmated,GPS_27,75,2,,39.513522,-76.486018,109.210831
6/19/18,2018,Maryland,Abel,R,BGBS,AB12,M,,GPS_27,76,3,,39.513338,-76.485987,111.212456
6/19/18,2018,Maryland,McElwain,R,BBYR,MC29,M,,GPS_1,284,3,,39.708518,-76.493148,188.85289
6/19/18,2018,Maryland,McElwain,R,GBSS,MC42,F,mated,GPS_1,285,4,,39.708476,-76.493192,187.562912
6/19/18,2018,Maryland,McElwain,R,GBRB,MC35,M,,GPS_1,286,3,,39.708605,-76.49294,185.36528
6/19/18,2018,Maryland,McElwain,N,BGGB,MC52,M,,GPS_1,294,2,,39.707315,-76.491362,176.880981
6/19/18,2018,Maryland,McElwain,N,BGGG,MC53,F,mated,GPS_1,109,2,egg attached to abdomen. caught right by an existing gps point (109),39.706998,-76.491258,140.238556
6/19/18,2018,Maryland,McElwain,N,BGGR,MC54,F,mated,GPS_1,292,NA,wing wear not recorded,39.70739,-76.491565,179.373169
6/19/18,2018,Maryland,McElwain,R,GGBR,MC51,M,,GPS_1,289,2,,39.707185,-76.491547,181.697617
6/19/18,2018,Maryland,McElwain,N,NA,NA,M,,GPS_1,291,1,"wings crumpled and new: not marked (put in bug dorm for a few hours, but did not uncrumple enough to mark)",39.707279,-76.491536,180.316238
6/19/18,2018,Maryland,McElwain,R,BBSY,MC26,M,,GPS_1,293,3,,39.707314,-76.491452,177.197495
6/19/18,2018,Maryland,Nuetzel,N,BGGS,NU07,M,,GPS_1,295,3,,39.674059,-76.584432,188.115036
6/19/18,2018,Maryland,Nuetzel,N,BGGY,NU08,F,mated,GPS_1,296,3,,39.673909,-76.58427,188.746277
6/19/18,2018,Maryland,Nuetzel,N,BGRB,NU09,M,,GPS_1,298,3,,39.673924,-76.584029,188.034424
6/20/18,2018,Maryland,Nuetzel,N,BGRG,NU10,F,mated,GPS_1,299,2,,39.673852,-76.584292,191.623199
6/20/18,2018,Maryland,Nuetzel,N,BGRR,NU11,M,,GPS_1,300,2,,39.67381,-76.584393,190.601013
6/20/18,2018,Maryland,Nuetzel,R,GGGB,NU05,M,,GPS_1,301,3,,39.673729,-76.58448,191.690079
6/20/18,2018,Maryland,Nuetzel,N,GBRS,NU12,M,,GPS_1,302,3,,39.67376,-76.584305,191.915924
6/20/18,2018,Maryland,Nuetzel,N,BGRY,NU13,M,,GPS_1,303,3,,39.673947,-76.584072,190.944626
6/20/18,2018,Maryland,Nuetzel,N,BGSB,NU14,M,,GPS_1,304,3,colors marked close together on wing,39.673956,-76.584041,191.191895
6/20/18,2018,Maryland,Nuetzel,N,BGSG,NU15,M,,GPS_1,305,4,,39.673929,-76.584113,191.059387
6/20/18,2018,Maryland,Nuetzel,N,BGSR,NU16,M,,GPS_1,306,2,,39.674006,-76.583851,190.834839
6/20/18,2018,Maryland,Nuetzel,R,BGRB,NU09,M,,GPS_1,307,3,,39.673984,-76.584003,190.999069
6/20/18,2018,Maryland,Nuetzel,N,BGSS,NU17,M,,GPS_1,308,3,,39.673858,-76.58413,190.678482
6/20/18,2018,Maryland,Nuetzel,R,GGBS,NU03,M,,GPS_1,309,NA,observed but not caught: no wing wear estimate,39.673975,-76.58386,192.195694
6/20/18,2018,Maryland,McElwain,R,GBRB,MC35,M,,GPS_1,310,3,nectaring on thistle,39.708422,-76.493117,177.626724
6/20/18,2018,Maryland,McElwain,R,BBYR,MC29,M,,GPS_1,311,3,,39.708314,-76.492892,176.685349
6/20/18,2018,Maryland,McElwain,R,?BBG?,NA,NA,,GPS_1,312,NA,"dead: found a piece of the wing in a pile of mowed grass. Only colors visible are BBG, so it could be MC06, MC07, or MC19.",39.707888,-76.491998,176.682434
6/20/18,2018,Maryland,McElwain,R,BGBB,MC32,M,,GPS_1,313,3,"edges of wings undamaged, but tips are see-through due to loss of scales",39.708025,-76.493102,178.542587
6/21/18,2018,Maryland,Alesia,N,BGSY,AL14,F,mated,GPS_1,315,3,,39.682664,-76.832957,214.281387
6/23/18,2018,Maryland,Nuetzel,R,BGSS,NU17,M,,GPS_1,316,3,,39.673814,-76.583937,173.613602
6/23/18,2018,Maryland,Nuetzel,N,BGYB,NU18,M,,GPS_1,317,3,,39.673962,-76.584045,171.626587
6/24/18,2018,Maryland,Abel,N,BGYG,AB14,M,,GPS_1,318,3,,39.513386,-76.485948,119.852585
6/24/18,2018,Maryland,Abel,R,GGGR,AB13,F,mated,GPS_1,319,2,,39.513547,-76.485898,121.042603
6/25/18,2018,Maryland,McElwain,N,BGYS,MC56,F,unmated,GPS_1,109,1,Newly emerged (from a chrysalis that had originally been marked as a J caterpillar). Wasn't too crumpled: put in bug dorm until wings could be marked,39.706998,-76.491258,140.238556
6/25/18,2018,Maryland,McElwain,N,BGYR,MC55,F,mated,GPS_1,320,2,,39.707181,-76.491105,177.153549
6/25/18,2018,Maryland,Nuetzel,R,BGGS,NU07,M,,GPS_1,321,3,Caught 4 butterflies (in one net) within 15-20 feet of each other. gps point 321 is in the middle of the area they were caught in,39.674147,-76.584435,184.761124
6/25/18,2018,Maryland,Nuetzel,R,BGSR,NU16,M,,GPS_1,321,3,,39.674147,-76.584435,184.761124
6/25/18,2018,Maryland,Nuetzel,N,BGYY,NU19,M,,GPS_1,321,3,Wing wear 3 or 4: Is missing half of an antenna,39.674147,-76.584435,184.761124
6/25/18,2018,Maryland,Nuetzel,N,BRBB,NU20,M,,GPS_1,321,3,bottom half of left wing is somewhat crumpled,39.674147,-76.584435,184.761124
6/25/18,2018,Maryland,Nuetzel,N,BRBG,NU21,F,mated,GPS_1,322,3,"green pen leaking: some extra green on wingtip, color code still readable. Pretty sure it is mated ",39.673872,-76.583743,190.553467
6/25/18,2018,Maryland,Nuetzel,N,BRBR,NU22,M,,GPS_1,323,5,,39.673889,-76.584024,188.961929
6/25/18,2018,Maryland,Nuetzel,R,BGGY,NU08,F,mated,GPS_1,324,3,,39.673756,-76.584187,188.892227
6/25/18,2018,Maryland,Nuetzel,R,BGYB,NU18,M,,GPS_1,325,3,,39.673692,-76.584354,188.503784
