"ocurrenceID","collectionCode","database","basisOfRecord","scientificName","eventDate","year","month","day","startDayOfYear","dayCode","lifeStage","lifeStageNotes","generalNotes","locationNotes","stateProvince","county","municipality","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinateSource","picture","recordedBy","within.year.duplicate...place.","within.year.duplicate...county.","lat2","lon2","id"
690527,"AMNH","AMNH","specimen","Euphydryas phaeton","7/5/20",1920,7,5,187,1920187,"adult","","","","New Jersey","Sussex","","",41.139297,-74.690801,"32404","county","N","dos Passos, C.F.","","same county, different collector",41.1,-74.7,"1920187 41.1 -74.7"
690528,"AMNH","AMNH","specimen","Euphydryas phaeton","6/22/34",1934,6,22,173,1934173,"adult","","","county inferred from town","New Jersey","Morris","","Mendham",40.775933,-74.600714,"3737","town","N","dos Passos, C.F.","","",40.8,-74.6,"1934173 40.8 -74.6"
690529,"AMNH","AMNH","specimen","Euphydryas phaeton","6/22/68",1968,6,22,174,1968174,"adult","","","","New Jersey","Sussex","","2 mi n of springdale",41.049358,-74.769054,"6033","town+direction+distance","N","Pine, R.","same place, same collector","",41,-74.8,"1968174 41 -74.8"
690531,"AMNH","AMNH","specimen","Euphydryas phaeton","7/13/68",1968,7,13,195,1968195,"adult","","","","New Jersey","Sussex","","2 mi n of springdale",41.049358,-74.769054,"6033","town+direction+distance","N","Pine, R.","same place, same collector","",41,-74.8,"1968195 41 -74.8"
690537,"AMNH","AMNH","specimen","Euphydryas phaeton","7/5/68",1968,7,5,187,1968187,"adult","","","","New Jersey","Sussex","","Springdale",41.020375,-74.769054,"3036","town","N","Pine, R.","same place, same collector","",41,-74.8,"1968187 41 -74.8"
690538,"AMNH","AMNH","specimen","Euphydryas phaeton","7/18/68",1968,7,18,200,1968200,"adult","","","","New Jersey","Sussex","","2 mi n of springdale",41.049358,-74.769054,"6033","town+direction+distance","N","Pine, R.","same place, same collector","",41,-74.8,"1968200 41 -74.8"
690539,"AMNH","AMNH","specimen","Euphydryas phaeton","7/13/79",1979,7,13,194,1979194,"adult","","","","New Jersey","Morris","","",40.862002,-74.544499,"33415","county","N","Buchholz, Otto","","",40.9,-74.5,"1979194 40.9 -74.5"
690541,"AMNH","AMNH","specimen","Euphydryas phaeton","7/14/69",1969,7,14,195,1969195,"adult","","","","New Jersey","Sussex","","Branchville",41.146485,-74.752387,"1106","town","N","Wright, Dave","same place","",41.1,-74.8,"1969195 41.1 -74.8"
690542,"AMNH","AMNH","specimen","Euphydryas phaeton","6/26/50",1950,6,26,177,1950177,"adult","","","","New Jersey","Morris","","",40.862002,-74.544499,"33415","county","N","Buchholz, Otto","","same county, some same collector",40.9,-74.5,"1950177 40.9 -74.5"
690543,"AMNH","AMNH","specimen","Euphydryas phaeton","6/20/32",1932,6,20,172,1932172,"adult","","","county inferred from town","New Jersey","Morris","","Mendham",40.775933,-74.600714,"3737","town","N","dos Passos, C.F.","same place, same collector","",40.8,-74.6,"1932172 40.8 -74.6"
690548,"AMNH","AMNH","specimen","Euphydryas phaeton","6/20/13",1913,6,20,171,1913171,"adult","","","","New Jersey","Sussex","","",41.139297,-74.690801,"32404","county","N","","","",41.1,-74.7,"1913171 41.1 -74.7"
690550,"AMNH","AMNH","specimen","Euphydryas phaeton","6/17/43",1943,6,17,168,1943168,"adult","","","county inferred from town; has another label underneath that says green village","New Jersey","Essex","","Short Hills",40.747879,-74.325427,"3036","town","N","Mueller, Joseph","","",40.7,-74.3,"1943168 40.7 -74.3"
690553,"AMNH","AMNH","specimen","Euphydryas phaeton","6/22/50",1950,6,22,173,1950173,"adult","","same day and county","","New Jersey","Morris","","Newfoundland",41.046486,-74.435155,"3036","town","N","Ehrlich, P.R.","same place, same collector","same county, some same collector",41,-74.4,"1950173 41 -74.4"
690555,"AMNH","AMNH","specimen","Euphydryas phaeton","6/14/19",1919,6,14,165,1919165,"adult","","","county inferred from town","New Jersey","Bergen","","Leonia",40.861489,-73.988194,"1850","town","N","Watson, F.E.","same place, same collector","",40.9,-74,"1919165 40.9 -74"
690561,"AMNH","AMNH","specimen","Euphydryas phaeton","5/6/19",1919,5,6,126,1919126,"adult","","","county inferred from town","New Jersey","Union","","Berkeley hgts",40.683435,-74.442653,"4498","town","N","","","",40.7,-74.4,"1919126 40.7 -74.4"
690562,"AMNH","AMNH","specimen","Euphydryas phaeton","6/21/42",1942,6,21,172,1942172,"adult","","","","New Jersey","Morris","","",40.862002,-74.544499,"33415","county","N","Buchholz, Otto","","",40.9,-74.5,"1942172 40.9 -74.5"
690567,"AMNH","AMNH","specimen","Euphydryas phaeton","6/5/35",1935,6,5,156,1935156,"adult","","","","New Jersey","Union","","",40.659901,-74.308145,"17416","county","N","Buchholz, Otto","","",40.7,-74.3,"1935156 40.7 -74.3"
690569,"AMNH","AMNH","specimen","Euphydryas phaeton","5/22/50",1950,5,22,142,1950142,"adult","","","","New Jersey","Morris","","",40.862002,-74.544499,"33415","county","N","Buchholz, Otto","","same county, some same collector",40.9,-74.5,"1950142 40.9 -74.5"
690570,"AMNH","AMNH","specimen","Euphydryas phaeton","5/22/72",1972,5,22,143,1972143,"adult","","","","Mississippi","Oktibbeha","","Adaton",33.477222,-88.921389,"","town","N","Bryson, Charles","","",33.5,-88.9,"1972143 33.5 -88.9"
690571,"AMNH","AMNH","specimen","Euphydryas phaeton","6/5/71",1971,6,5,156,1971156,"adult","","","","Mississippi","Webster","","2 mi s cumberland",33.591378,-89.079229,"6033","town+direction+distance","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1971156 33.6 -89.1"
690572,"AMNH","AMNH","specimen","Euphydryas phaeton","5/20/72",1972,5,20,141,1972141,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1972141 33.6 -89.1"
690574,"AMNH","AMNH","specimen","Euphydryas phaeton","5/25/72",1972,5,25,146,1972146,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1972146 33.6 -89.1"
690575,"AMNH","AMNH","specimen","Euphydryas phaeton","6/6/71",1971,6,6,157,1971157,"adult","","","","Mississippi","Webster","","2 mi s cumberland",33.591378,-89.079229,"6033","town+direction+distance","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1971157 33.6 -89.1"
690578,"AMNH","AMNH","specimen","Euphydryas phaeton","5/29/73",1973,5,29,149,1973149,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector?","",33.6,-89.1,"1973149 33.6 -89.1"
690579,"AMNH","AMNH","specimen","Euphydryas phaeton","5/5/72",1972,5,5,126,1972126,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1972126 33.6 -89.1"
690582,"AMNH","AMNH","specimen","Euphydryas phaeton","5/24/72",1972,5,24,145,1972145,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1972145 33.6 -89.1"
690583,"AMNH","AMNH","specimen","Euphydryas phaeton","5/24/73",1973,5,24,144,1973144,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector?","",33.6,-89.1,"1973144 33.6 -89.1"
690587,"AMNH","AMNH","specimen","Euphydryas phaeton","5/31/71",1971,5,31,151,1971151,"adult","","","","Mississippi","Webster","","2 mi s cumberland",33.591378,-89.079229,"6033","town+direction+distance","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1971151 33.6 -89.1"
690589,"AMNH","AMNH","specimen","Euphydryas phaeton","5/18/73",1973,5,18,138,1973138,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector?","",33.6,-89.1,"1973138 33.6 -89.1"
690590,"AMNH","AMNH","specimen","Euphydryas phaeton","6/4/72",1972,6,4,156,1972156,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, Charles","same place, same collector","",33.6,-89.1,"1972156 33.6 -89.1"
690592,"AMNH","AMNH","specimen","Euphydryas phaeton","5/20/73",1973,5,20,140,1973140,"adult","","","","Mississippi","Webster","","Cumberland",33.620397,-89.079229,"3036","town","N","Bryson, John","same place, same collector?","",33.6,-89.1,"1973140 33.6 -89.1"
690611,"AMNH","AMNH","specimen","Euphydryas phaeton","7/7/55",1955,7,7,188,1955188,"adult","","","","Michigan","Otsego","","7 mi e vanderbilt",45.1427,-84.516597,"10307","town+direction+distance","N","Rindge, F & P","same place, same collector","",45.1,-84.5,"1955188 45.1 -84.5"
690612,"AMNH","AMNH","specimen","Euphydryas phaeton","7/8/55",1955,7,8,189,1955189,"adult","","","","Michigan","Otsego","","Pigeon river, 7 mi e vanderbilt",45.129763,-84.505738,"10307","town+direction+distance+locality","N","Rindge, F & P; Klots","same place, same collector","",45.1,-84.5,"1955189 45.1 -84.5"
690613,"AMNH","AMNH","specimen","Euphydryas phaeton","6/25/33",1933,6,25,176,1933176,"adult","","","county inferred from town","Michigan","Livingston","","Green Oak",42.478611,-83.727222,"","town","N","","","",42.5,-83.7,"1933176 42.5 -83.7"
690614,"AMNH","AMNH","specimen","Euphydryas phaeton","7/14/24",1924,7,14,196,1924196,"adult","","","","Wisconsin","Waukesha","","Dousman",43.014176,-88.472598,"2180","town","N","Bower, H.M.","","",43,-88.5,"1924196 43 -88.5"
690617,"AMNH","AMNH","specimen","Euphydryas phaeton","6/22/19",1919,6,22,173,1919173,"adult","","","","Wisconsin","Waukesha","","Dousman",43.014176,-88.472598,"2180","town","N","Bower, H.M.","same place, same collector","",43,-88.5,"1919173 43 -88.5"
690619,"AMNH","AMNH","specimen","Euphydryas phaeton","6/29/28",1928,6,29,181,1928181,"adult","","","county inferred from town","Minnesota","Hennepin","","Hopkins",44.930769,-93.401692,"","town","N","","","",44.9,-93.4,"1928181 44.9 -93.4"
690621,"AMNH","AMNH","specimen","Euphydryas phaeton","7/6/19",1919,7,6,187,1919187,"adult","","","county inferred from town","Wisconsin","Waukesha","","Dousman",43.014176,-88.472598,"2180","town","N","Bower, H.M.","same place, same collector","",43,-88.5,"1919187 43 -88.5"
690623,"AMNH","AMNH","specimen","Euphydryas phaeton","7/7/19",1919,7,7,188,1919188,"adult","","","county inferred from town","Wisconsin","Waukesha","","Dousman",43.014176,-88.472598,"2180","town","N","Bower, H.M.","same place, same collector","",43,-88.5,"1919188 43 -88.5"
690635,"AMNH","AMNH","specimen","Euphydryas phaeton","6/29/19",1919,6,29,180,1919180,"adult","","","county inferred from town","Wisconsin","Waukesha","","Dousman",43.014176,-88.472598,"2180","town","N","Bower, H.M.","same place, same collector","",43,-88.5,"1919180 43 -88.5"
690637,"AMNH","AMNH","specimen","Euphydryas phaeton","6/27/42",1942,6,27,178,1942178,"adult","","","","Wisconsin","Dane","","Madison",43.073052,-89.40123,"16732","town","Y","","","",43.1,-89.4,"1942178 43.1 -89.4"
690640,"AMNH","AMNH","specimen","Euphydryas phaeton","7/5/48",1948,7,5,187,1948187,"adult","","","county inferred from town","Wisconsin","Waukesha","","Oconomowoc",43.111673,-88.499266,"4584","town","N","Euting, Neil","","",43.1,-88.5,"1948187 43.1 -88.5"
690665,"AMNH","AMNH","specimen","Euphydryas phaeton","6/4/03",1903,6,4,155,1903155,"adult","","","county inferred from town","Connecticut","Fairfield","","Greenwich",41.026486,-73.62846,"3036","town","N","Wood, Wm. C.","","",41,-73.6,"1903155 41 -73.6"
690666,"AMNH","AMNH","specimen","Euphydryas phaeton","6/12/04",1904,6,12,164,1904164,"adult","","","county inferred from town","Rhode Island","Providence","","Ashton",41.938988,-71.430614,"3036","town","N","","","",41.9,-71.4,"1904164 41.9 -71.4"
690668,"AMNH","AMNH","specimen","Euphydryas phaeton","5/31/03",1903,5,31,151,1903151,"adult","","","county inferred from town","Massachusetts","Norfolk","","Milton",42.249544,-71.066161,"5895","town","N","","","",42.2,-71.1,"1903151 42.2 -71.1"
690674,"AMNH","AMNH","specimen","Euphydryas phaeton","7/22/79",1979,7,22,203,1979203,"adult","","","","New Hampshire","Grafton","","2.5 mi. W 2 mi. N Plymouth",43.785974,-71.738268,"5689","town+direction+distance","N","Zweifel, P.","","",43.8,-71.7,"1979203 43.8 -71.7"
690678,"AMNH","AMNH","specimen","Euphydryas phaeton","8/3/68",1968,8,3,216,1968216,"adult","","","","Vermont","Bennington","","Bennington",42.878134,-73.196774,"3410","town","N","Pine, B.","","",42.9,-73.2,"1968216 42.9 -73.2"
690681,"AMNH","AMNH","specimen","Euphydryas phaeton","6/25/72",1972,6,25,177,1972177,"adult","","","county inferred from town","Vermont","Windsor","","Pomfret (maybe name?)",43.704791,-72.515929,"3036","town","N","","","",43.7,-72.5,"1972177 43.7 -72.5"
690682,"AMNH","AMNH","specimen","Euphydryas phaeton","7/2/47",1947,7,2,183,1947183,"adult","","","county inferred from town","Maine","Franklin","","Phillips",44.823113,-70.33951,"3036","town","N","dos Passos, C.F.","","",44.8,-70.3,"1947183 44.8 -70.3"
