"","ocurrenceID","database","collectionCode","basisOfRecord","scientificName","genus","specificEpithet","eventDate","year","month","day","startDayOfYear","dayCode","phenology","buds","flowers","fruit","vegetative","unknown","phenologyNotes","generalNotes","stateProvince","county","municipality","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","picture","pictureChecked","inBCBrange","phenOne","phenTwo","phenThree","PhenFour","locationNotes","coordinateSource","coordinateUncertaintySource","compiler"
"11",3848617,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/30/2002",2002,9,30,273,2002273,"flowering","unknown","Y","N"," "," ","","","Tennessee","Humphreys","","Low woods at Possum Creek off of Cuba Landing Road and intersection of Rustic Valley Road; TN national wildlife refuge, duck river unit",35.889445,-87.911408,1700,"Y","Y","Y","Yes","Flowering","","","need to change latlon based on new locality info? (name of wildlife refuge)","locality","best estimate","JA"
"12",3848619,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","10/10/1976",1976,10,10,284,1976284,"flowering and fruit","unknown","Y","Y"," "," ","","","Tennessee","Polk","Reliance","Along S. bank of Hiwassee R. ca. 2 mi. E. of jct. Hwy 30 and co. rd. 2518 in Reliance.",35.181084,-84.469798,2000,"Y","Y","Y","Yes","Both","","","","locality","best estimate","JA"
"13",3848622,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/20/1968",1968,9,20,264,1968264,"flowering","unknown","Y","N"," "," ","","same day/place, some have different phenology","North Carolina","Watauga","","Roadbanks and deciduous woods along Co. Rt. 1102, on Rich Mt., 3.4 mi. west of Howard's Knob.",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","","","","JA"
"14",3848623,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","10/1/1981",1981,10,1,274,1981274,"fruit","N","N","Y"," "," ","description: ""flowering, Sterile staminode whitish."" Picture: fruit","same day/place, different phenology","Georgia","Gilmer","","Rich Mountain Wildlife Management Area. Roadside at Stanley Gap. Beside small stream, wet soil. Near Stanley Gap. ",34.78056,-84.312407,400,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"15",3848905,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/23/1971",1971,9,23,266,1971266,"flowering and ?","maybe","Y","maybe"," "," ","recheck phenology: unsure","","Tennessee","Montgomery","","Austin Peay State University Farm. Swampy woods below recreation area. Not common.",36.570677,-87.33947,800,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"16",15420728,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/21/2011",2011,9,21,264,2011264,"flowering and ???","maybe","Y","maybe"," "," ","recheck phenology: very unsure","","Tennessee","Polk","","from W84?31'52.551"", N35?5'31.818; to  W84°30'19.377"" N35?4'25.569;",35.09217,-84.53126,NA,"Y","Y","Y","Yes","Flowering","","","need to change latlon based on new locality info (between two lat lon points)","provided by observer","","JA"
"17",8491837,"MW","AVCH","specimen","Chelone glabra","Chelone","glabra","10/6/2003",2003,10,6,279,2003279,"flowering","unknown","Y","N"," "," ","","","Virginia","Alexandria (City)","alexandria","dora kelley nature park, deep ravine north of main trail (sanger avenue trail) between terminus of sangar avenue and the chambliss tributary",38.830913,-77.132106,400,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"18",1523651,"NE","BART","specimen","Chelone glabra","Chelone","glabra","9/19/2009",2009,9,19,262,2009262,"flowering","unknown","Y","N"," "," ","","","Connecticut","Fairfield","Brookfield","41.43.10N, 73.38.09W",41.46753,-73.39235,5427,"Y","Y","Y","Yes","Flowering","","","has coordinates from observer, but they are for wrong state","provided","provided","JA"
"19",1523652,"NE","BART","specimen","Chelone glabra","Chelone","glabra","9/26/2006",2006,9,26,269,2006269,"flowering and fruit?","unknown","Y","Y"," "," ","recheck phenology: unsure","","Connecticut","Fairfield","Stamford","Bartlett Arboretum Forest 41?08.103N, 73?32.896W (translates to 41.16194444, -73.78222222)",41.134412,-73.551015,NA,"Y","Y","Y","Yes","Both","",""," coordinates provided by observer don't match up with location description: used description for location","locality","","JA"
"20",1523657,"NE","BART","specimen","Chelone glabra","Chelone","glabra","8/22/1979",1979,8,22,234,1979234,"flowering","unknown","Y","N"," "," ","","","Connecticut","Fairfield","Stamford","Bartlett Arboretum. Edge of stream, north of pond",41.133584,-73.550013,300,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"21",7719603,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","9/28/1890",1890,9,28,271,1890271,NA,"unknown","unknown","unknown"," "," ","","","Iowa","Muscatine","Lake","Lake twp.",41.4544,-91.1786,3000,"N",NA,"Y","Not Scorable","","","","","town","geolocate","JA"
"22",7719604,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","8/30/1920",1920,8,30,243,1920243,NA,"unknown","unknown","unknown"," "," ","","","Iowa","Cerro Gordo","","Mason City. Buffalo Slough.",43.170984,-93.177082,400,"N",NA,"Y","Not Scorable","","","","","locality","best estimate","JA"
"23",7719605,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","9/17/1950",1950,9,17,260,1950260,NA,"unknown","unknown","unknown"," "," ","","","Iowa","Muscatine","","left hand side of road from rt. 61 to Pine Mill",41.4787,-91.033636,11000,"N",NA,"Y","Not Scorable","","","","","locality","best estimate","JA"
"24",7719606,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","9/21/1953",1953,9,21,264,1953264,NA,"unknown","unknown","unknown"," "," ","","","Iowa","Muscatine","Lake","SW1/4 Sec. 15. Lake Twp.",NA,NA,NA,"N",NA,"Y","Not Scorable","","","","PLSS","","","JA"
"25",7719607,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","8/13/1954",1954,8,13,225,1954225,NA,"unknown","unknown","unknown"," "," ","","","Iowa","Muscatine","Lake","Lindell's Woods. Lake twp.",41.4544,-91.1786,3000,"N",NA,"Y","Not Scorable","","","","couldn't find locality, used town","town","geolocate","JA"
"26",7719608,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","9/3/1954",1954,9,3,246,1954246,NA,"unknown","unknown","unknown"," "," ","","","Iowa","Muscatine","Lake","Sec. 15 Lake Twp.",NA,NA,NA,"N",NA,"Y","Not Scorable","","","","PLSS","","","JA"
"27",7719609,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","9/2/1961",1961,9,2,245,1961245,NA,"unknown","unknown","unknown"," "," ","","","Iowa","Scott","","Credit Island. west of pond.",41.49434,-90.6196,700,"N",NA,"Y","Not Scorable","","","","","locality","best estimate","JA"
"28",7719614,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","8/30/1886",1886,8,30,242,1886242,NA,"unknown","unknown","unknown"," "," ","","","Maryland","","","McDonogh",39.391217,-76.764419,3036,"N",NA,"Y","Not Scorable","","",""," may not be right","locality","geolocate","JA"
"29",7719615,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","8/20/1890",1890,8,20,232,1890232,NA,"unknown","unknown","unknown"," "," ","","","Michigan","Gratiot","Alma","",43.37892,-84.659727,3201,"N",NA,"Y","Not Scorable","","","","","town","geolocate","JA"
"30",7719617,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","9/7/1891",1891,9,7,250,1891250,NA,"unknown","unknown","unknown"," "," ","","","Massachusetts","Franklin","","Leverett",42.452033,-72.501476,3036,"N",NA,"Y","Not Scorable","","","","","town","geolocate","JA"
"31",7719618,"MW","BDI","specimen","Chelone glabra","Chelone","glabra","7/13/1892",1892,7,13,195,1892195,NA,"unknown","unknown","unknown"," "," ","","","New Hampshire","Grafton","Lincoln","near The Flume",44.102811,-71.652724,2000,"N",NA,"Y","Not Scorable","","","","","locality","best estimate","JA"
"32",14418627,"MW","BENN","specimen","Chelone glabra","Chelone","glabra","8/23/1975",1975,8,23,235,1975235,"flowering","unknown","Y","N"," "," ","","","Vermont","Bennington","Bennington","Marl swamp off the Silk Road, in Bennington.",42.897098,-73.222502,3410,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"33",1304986,"NE","BRU","specimen","Chelone glabra","Chelone","glabra","8/17/1942",1942,8,17,229,1942229,"flowering","unknown","Y","N"," "," ","","","Rhode Island","Providence","","edge of marsh, butler''s asylum",41.843393,-71.380437,300,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"34",1309451,"NE","BRU","specimen","Chelone glabra","Chelone","glabra","10/3/2014",2014,10,3,276,2014276,"flowering and fruit","unknown","Y","Y"," "," ","","","Rhode Island","Providence","lime rock","",41.928555,-71.449706,NA,"Y","Y","Y","Yes","Both","","","","town","","JA"
"35",1315807,"NE","BRU","specimen","Chelone glabra","Chelone","glabra","8/25/1906",1906,8,25,237,1906237,"flowering and fruit???","unknown","Y","Y"," "," ","recheck phenology: very unsure","","Rhode Island","Washington","south kingston","great swamp, near fighting ground",41.467956,-71.594331,4000,"Y","Y","Y","Yes","Both","","","","locality","best estimate","JA"
"36",1318211,"NE","BRU","specimen","Chelone glabra","Chelone","glabra","9/24/1893",1893,9,24,267,1893267,"flowering","unknown","Y","N"," "," ","","","Rhode Island","Providence","cranston","randall's pond, cranston",41.788418,-71.468788,300,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"37",1319115,"NE","BRU","specimen","Chelone glabra","Chelone","glabra","9/14/1900",1900,9,14,257,1900257,"flowering and fruit?","unknown","Y","Y"," "," ","recheck phenology: unsure","","Rhode Island","Providence","","cat swamp",41.8326002,-71.388111,NA,"Y","Y","Y","Yes","Both","","","","locality","","JA"
"38",1320203,"NE","BRU","specimen","Chelone glabra","Chelone","glabra","9/11/1878",1878,9,11,254,1878254,"flowering and ???","maybe","Y","maybe"," "," ","recheck phenology: very unsure","","Rhode Island","Providence","N. scituate","",41.832626,-71.587111,NA,"Y","Y","Y","Yes","Flowering","","","","town","","JA"
"39",1322969,"NE","BRU","specimen","Chelone glabra","Chelone","glabra","8/27/1885",1885,8,27,239,1885239,"flowering and ???","maybe","Y","maybe"," "," ","recheck phenology: very unsure","","Rhode Island","Providence","cranston","",41.779823,-71.43728,8927,"Y","Y","Y","Yes","Flowering","","","","town","geolocate","JA"
"40",1501237,"NE","BSN","specimen","Chelone glabra","Chelone","glabra","9/2/1911",1911,9,2,245,1911245,"flowering","unknown","Y","N"," "," ","","","Massachusetts","Middlesex","Sherborn","",42.238986,-71.369781,NA,"Y","Y","Y","Yes","Flowering","","","","town","","JA"
"41",1501241,"NE","BSN","specimen","Chelone glabra","Chelone","glabra","9/11/1908",1908,9,11,255,1908255,"flowering","unknown","Y","N"," "," ","","","Massachusetts","Norfolk","Cohasset","",42.241768,-70.803654,3036,"Y","Y","Y","Yes","Flowering","","","","town","geolocate","JA"
"42",1501243,"NE","BSN","specimen","Chelone glabra","Chelone","glabra","9/1/1901",1901,9,1,244,1901244,"flowering","unknown","Y","N"," "," ","","","Massachusetts","Bristol","Fall River","Steep Brook",41.7420771,-71.1291145,NA,"Y","Y","Y","Yes","Flowering","","","","locality","","JA"
"43",1501245,"NE","BSN","specimen","Chelone glabra","Chelone","glabra","8/14/1911",1911,8,14,226,1911226,"vegetative","N","N","N","Y"," ","","","Massachusetts","Dukes","Chilmark","",41.343169,-70.74475,3036,"Y","Y","Y","No","","","","","town","geolocate","JA"
"44",10157553,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/17/1949",1949,9,17,260,1949260,"flowering","unknown","Y","N"," "," ","","","Indiana","Fulton","","Southwest corner of Bruce Lake.",41.073697,-86.465007,1000,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"45",10157554,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","10/6/1945",1945,10,6,279,1945279,"flowering","unknown","Y","N"," "," ","","","Indiana","Carroll","","North side of Rd. 25, 2.0 miles northeast of Delphi.",40.608029,-86.648017,1000,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","best estimate","JA"
"46",10157581,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/8/1945",1945,9,8,251,1945251,"flowering","unknown","Y","N"," "," ","","same day/close together, same phenology","Indiana","Henry","","ca. 1.0 mile east of Moreland.",39.997545,-85.232157,2928,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"47",10157616,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/20/1941",1941,9,20,263,1941263,"flowering","unknown","Y","N"," "," ","","","Indiana","Miami","","South side of Mississinewa River, 0.5 mile south of Peoria.",40.724886,-85.959803,3479,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance+locality","geolocate","JA"
"48",10158552,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/11/1929",1929,9,11,254,1929254,"flowering","unknown","Y","N"," "," ","","","Indiana","Lake","","Near Gary.",41.59337,-87.346427,11196,"N",NA,"Y","Yes","Flowering","","","","town","geolocate","JA"
"49",10158621,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/19/1936",1936,9,19,263,1936263,"flowering","unknown","Y","N"," "," ","","","Indiana","","","Melfolfa.",NA,NA,NA,"N",NA,"Y","Yes","Flowering","","","can't find locality","","","JA"
"50",10158623,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/7/1925",1925,9,7,250,1925250,"flowering","unknown","Y","N"," "," ","","","Indiana","Porter","Tremont","Dunes at Tremont.",41.648649,-87.043644,3036,"N",NA,"Y","Yes","Flowering","","","","town","geolocate","JA"
"51",10161574,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/2/1930",1930,9,2,245,1930245,"flowering","unknown","Y","N"," "," ","","same day/close together, same phenology","Indiana","Jackson","","4 miles south of Seymore.",38.901234,-85.890255,10417,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"52",10164554,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/13/1933",1933,9,13,256,1933256,"flowering","unknown","Y","N"," "," ","","","Indiana","Porter","","Just west of Dunes State Park.",41.634539,-87.110518,5000,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"53",10164611,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","10/11/1936",1936,10,11,285,1936285,"flowering","unknown","Y","N"," "," ","","","Indiana","Morgan","","4 miles east of Rd. 37 about 15 miles southeast of Martinsville.",39.274771,-86.446992,5000,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"54",10173641,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/17/1938",1938,9,17,260,1938260,"flowering","unknown","Y","N"," "," ","","","Indiana","Jefferson","","2.6 miles north of Bryantsburg.",38.923582,-85.374404,5320,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"55",10173724,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","8/22/1938",1938,8,22,234,1938234,"flowering","unknown","Y","N"," "," ","","","Indiana","","","Back of Baptist Church, Tenants Harbor.",NA,NA,NA,"N",NA,"Y","Yes","Flowering","","","can't find locality","","","JA"
"56",10176592,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/11/1930",1930,9,11,254,1930254,"flowering","unknown","Y","N"," "," ","","same day/close together, different phenology?","Indiana","","","7.5 miles northwest of Greenfield Mills.",41.827402,-85.328527,NA,"N",NA,"Y","Yes","Flowering","","","7.5 miles nnw of Greenfield Mills put location in Michigan-recorded coordinates anyway","town+direction+distance","","JA"
"57",10183622,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/17/1993",1993,9,17,260,1993260,"flowering","unknown","Y","N"," "," ","","","Indiana","Allen","Lafayette ","Fogwell Forest Nature Preserve: end of Whippoorwill Dr., 1.5 miles east of I-69 via Lower Huntington Rd.; northeast corner of Lafayette Twp., southeast of Ft. Wayne.",41.000056,-85.238998,1200,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"58",10183626,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/12/1942",1942,9,12,255,1942255,"flowering","unknown","Y","N"," "," ","","","Indiana","Porter","","Along Nickel Plate RR., about 1 mile east of Valparaiso, just east of Rd. 49.",41.47683,-87.015931,500,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"59",10190620,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/16/1939",1939,9,16,259,1939259,"flowering","unknown","Y","N"," "," ","","","Indiana","Kosciusko","","South end of Loon Lake, 4 miles west of Silver Lake.",41.080967,-85.966499,400,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"60",10197468,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/2/1944",1944,9,2,246,1944246,"flowering","unknown","Y","N"," "," ","","same day/close together, same phenology","Indiana","Randolph","","East side of Rd. 1, 6.2 miles north of Modoc.",40.135185,-85.126354,7911,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance+locality","geolocate","JA"
"61",10197518,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/29/1935",1935,9,29,272,1935272,"flowering","unknown","Y","N"," "," ","","","Indiana","Morgan","","16 miles southeast of Martinsville.",39.263637,-86.216015,12230,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"62",10197522,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/12/1929",1929,9,12,255,1929255,"flowering","unknown","Y","N"," "," ","","","Indiana","Warren","West Lebanon.","",40.270037,-87.38668,1622,"N",NA,"Y","Yes","Flowering","","","","town","geolocate","JA"
"63",10198033,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/13/1930",1930,9,13,256,1930256,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Morgan","","Waverly Marsh.",39.556992,-86.271379,3036,"N",NA,"Y","Yes","Flowering","","","assuming that waverly is the place in morgan county","town","geolocate","JA"
"64",10198339,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/25/1943",1943,9,25,268,1943268,"flowering","unknown","Y","N"," "," ","","","Indiana","Shelby","","1.3 miles northeast of Blue Ridge.",39.532538,-85.618258,3450,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"65",10198436,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/8/1945",1945,9,8,251,1945251,"flowering","unknown","Y","N"," "," ","","same day/close together, same phenology","Indiana","Randolph","","At Cabin Creek and Rd. 1, 6 miles north of Modoc.",40.138831,-85.127316,200,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"66",10198459,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/14/1940",1940,9,14,258,1940258,"flowering","unknown","Y","N"," "," ","","","Indiana","Kosciusko","","2 miles northeast of Atwood.",41.281368,-85.948012,5042,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"67",10198671,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/4/1931",1931,9,4,247,1931247,"flowering","unknown","Y","N"," "," ","","","Indiana","Pulaski","Medaryville.","",41.080595,-86.891963,887,"N",NA,"Y","Yes","Flowering","","","","town","geolocate","JA"
"68",10198971,"MW","BUT","specimen","Chelone glabra","Chelone","glabra","9/28/1935",1935,9,28,271,1935271,"flowering","unknown","Y","N"," "," ","","","Indiana","Henry","","2.6 miles north of Newcastle.",39.96662,-85.370248,5926,"N",NA,"Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"69",5605063,"MW","CALVIN","specimen","Chelone glabra","Chelone","glabra","10/21/2004",2004,10,21,295,2004295,"fruit","N","N","Y"," "," ","","","Michigan","Kent","Kentwood","N side of Plaster Creek, 1/2 mi W of Shaffer Ave. city of kentwood.sec 22. T6N, R11W",42.888628,-85.596833,400,"Y","Y","Y","Yes","Fruiting","","","","PLSS/locality","best estimate","JA"
"70",11036623,"MW","CALVIN","specimen","Chelone glabra","Chelone","glabra","9/16/2014",2014,9,16,259,2014259,NA,"unknown","unknown","unknown"," "," ","","didn't see record when went back to check picture","Michigan","Kent","","just east of village of Cannonsburg near jct. Ramsdell Ave. and Cannonsburg Rd.",43.053366,-85.467147,200,"Y","?","Y","Not Scorable","","","","","locality","best estimate","JA"
"71",113004,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","8/12/1972",1972,8,12,225,1972225,"flowering","unknown","Y","N"," "," ","","","Connecticut","","Bethlehem","Green Hill Road, on land of A. Harger",41.33129,-72.6229,12311,"Y","Y","Y","Yes","Flowering","","","need to change latlon based on new locality info -online record said town was madison, county was new haven","provided","provided","JA"
"72",113005,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","9/30/1972",1972,9,30,274,1972274,"flowering","unknown","Y","N"," "," ","","","Connecticut","Litchfield","Canaan","Roadside - Route 7 & 163",41.95988,-73.31005,6688,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"73",113007,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","8/8/1903",1903,8,8,220,1903220,"flowering","unknown","Y","N"," "," ","","","Connecticut","New Haven","North Guilford","",41.367,-72.717,5062,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"74",113008,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","9/8/1906",1906,9,8,251,1906251,"flowering","unknown","Y","N"," "," ","","","Connecticut","New Haven","North Guilford","",41.367,-72.717,5062,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"75",113009,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","9/7/1907",1907,9,7,250,1907250,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Connecticut","Hartford","Hartford","Gully Brook region",41.766,-72.68343,5423,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"76",113011,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","8/30/1893",1893,8,30,242,1893242,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Connecticut","Hartford","Rocky Hill","",41.6571,-72.6633,5282,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"77",113012,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","9/6/1915",1915,9,6,249,1915249,"flowering","unknown","Y","N"," "," ","","","Connecticut","Windham","Scotland","",41.6979,-72.088,5661,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"78",113013,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","9/14/1898",1898,9,14,257,1898257,"flowering and fruit","unknown","Y","Y"," "," ","","same day/place, same phenology","Connecticut","Hartford","Southington","Andrews Street",41.60489,-72.88003,7659,"Y","Y","Y","Yes","Both","","","","provided","provided","JA"
"79",113014,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","9/11/1948",1948,9,11,255,1948255,"flowering","unknown","Y","N"," "," ","","","Connecticut","Hartford","Suffield","Beech swamp",41.9945,-72.6788,8341,"Y","Y","Y","Yes","Flowering","","","need to change latlon based on new locality info? Not sure if name of swamp or description","provided","provided","JA"
"80",113015,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","8/31/1940",1940,8,31,244,1940244,"flowering and fruit?","unknown","Y","Y"," "," ","recheck phenology: unsure","same day/place, some have different phenology","Connecticut","Hartford","Suffield","Beech swamp",41.9945,-72.6788,8341,"Y","Y","Y","Yes","Both","","","need to change latlon based on new locality info? Not sure if name of swamp or description","provided","provided","JA"
"81",113016,"NE","CBS","specimen","Chelone glabra","Chelone","glabra","8/24/1931",1931,8,24,236,1931236,"flowering","unknown","Y","N"," "," ","","","Connecticut","Hartford","Suffield","",41.9945,-72.6788,8341,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
